invoice_date,invoice_id,state,amount
2015-03-03 00:00:00+00,CA-2015-155852,North Carolina,19.456
2015-03-03 00:00:00+00,US-2015-127978,Ohio,362.24199999999996
2015-03-04 00:00:00+00,CA-2015-116239,South Carolina,354.9
2015-03-04 00:00:00+00,CA-2015-117016,Florida,15.552
2015-03-05 00:00:00+00,CA-2015-169061,New York,705.5619999999999
2015-03-07 00:00:00+00,CA-2015-104563,Washington,1143.8220000000001
2015-03-07 00:00:00+00,CA-2015-156587,Washington,309.592
2015-03-07 00:00:00+00,US-2015-131982,Washington,107.648
2015-03-10 00:00:00+00,US-2015-100279,Michigan,22.38
2015-03-10 00:00:00+00,US-2015-140116,Colorado,719.576
2015-03-11 00:00:00+00,CA-2015-114790,Kentucky,782.6300000000001
2015-03-11 00:00:00+00,CA-2015-158337,New York,108.92
2015-03-11 00:00:00+00,CA-2015-166884,Ohio,18.784
2015-03-11 00:00:00+00,US-2015-103338,California,7.98
2015-03-14 00:00:00+00,CA-2015-100293,Florida,91.056
2015-03-14 00:00:00+00,CA-2015-114510,Utah,280.276
2015-03-14 00:00:00+00,CA-2015-152618,Illinois,583.358
2015-03-14 00:00:00+00,CA-2015-157623,California,13.940000000000001
2015-03-14 00:00:00+00,US-2015-125521,Virginia,1139.92
2015-03-15 00:00:00+00,CA-2015-149958,Florida,370.782
2015-03-16 00:00:00+00,CA-2015-157609,North Carolina,471.92
2015-03-17 00:00:00+00,CA-2015-118339,Minnesota,249.92000000000002
2015-03-17 00:00:00+00,CA-2015-127859,Pennsylvania,126.624
2015-03-17 00:00:00+00,CA-2015-158442,Texas,25.184
2015-03-17 00:00:00+00,US-2015-148838,New York,3455.13
2015-03-17 00:00:00+00,US-2015-164763,Mississippi,103.50000000000001
2015-03-18 00:00:00+00,CA-2015-111871,California,1198.33
2015-03-18 00:00:00+00,CA-2015-145317,Florida,23661.228
2015-03-18 00:00:00+00,US-2015-131275,California,3247.1580000000004
2015-03-19 00:00:00+00,CA-2015-103989,Florida,590.7620000000001
2015-03-21 00:00:00+00,CA-2015-140004,Ohio,13.456
2015-03-21 00:00:00+00,CA-2015-163223,Virginia,3769.56
2015-03-21 00:00:00+00,US-2015-107405,North Carolina,16.272
2015-03-21 00:00:00+00,US-2015-155544,Tennessee,310.528
2015-03-22 00:00:00+00,CA-2015-148040,Arizona,388.70399999999995
2015-03-22 00:00:00+00,US-2015-129609,Indiana,16.28
2015-03-22 00:00:00+00,US-2015-158057,North Carolina,59.109
2015-03-23 00:00:00+00,CA-2015-120838,California,935.1519999999999
2015-03-23 00:00:00+00,CA-2015-164749,Florida,9.912
2015-03-24 00:00:00+00,CA-2015-143637,California,40.48
2015-03-24 00:00:00+00,CA-2015-147235,New York,24.9
2015-03-25 00:00:00+00,CA-2015-128237,California,92.36
2015-03-25 00:00:00+00,CA-2015-148586,New York,366.786
2015-03-26 00:00:00+00,CA-2015-100860,California,18.75
2015-03-26 00:00:00+00,CA-2015-138436,California,66.3
2015-03-26 00:00:00+00,CA-2015-141838,California,60.08
2015-03-28 00:00:00+00,CA-2015-100881,New Mexico,302.376
2015-03-28 00:00:00+00,US-2015-117380,Ohio,330.588
2015-03-28 00:00:00+00,US-2015-137869,Iowa,1190.84
2015-03-29 00:00:00+00,CA-2015-137274,Texas,890.841
2015-03-30 00:00:00+00,CA-2015-131247,California,205.666
2015-03-30 00:00:00+00,CA-2015-133424,Washington,60.239999999999995
2015-03-30 00:00:00+00,CA-2015-162089,Texas,714.966
2015-03-30 00:00:00+00,CA-2015-169033,New York,49.65
2015-03-30 00:00:00+00,US-2015-105151,New York,10.5
2015-03-30 00:00:00+00,US-2015-113124,Minnesota,129.3
2015-03-31 00:00:00+00,CA-2015-101770,Florida,1.869
2015-03-31 00:00:00+00,CA-2015-112403,Pennsylvania,0.852
2015-03-31 00:00:00+00,CA-2015-128055,California,726.548
2015-03-31 00:00:00+00,CA-2015-130428,Florida,1142.165
2015-03-31 00:00:00+00,US-2015-104759,Illinois,88.118
2015-04-01 00:00:00+00,CA-2015-138359,Massachusetts,73.19999999999999
2015-04-01 00:00:00+00,US-2015-157021,California,46.688
2015-04-02 00:00:00+00,CA-2015-160276,Virginia,177.68
2015-04-02 00:00:00+00,CA-2015-164315,Georgia,1220.67
2015-04-02 00:00:00+00,US-2015-157847,Texas,60.208
2015-04-03 00:00:00+00,CA-2015-112291,California,233.45
2015-04-04 00:00:00+00,CA-2015-105172,California,18.9
2015-04-04 00:00:00+00,CA-2015-133228,Michigan,84.83
2015-04-04 00:00:00+00,CA-2015-149538,Louisiana,364.93
2015-04-04 00:00:00+00,US-2015-128685,California,7.184
2015-04-05 00:00:00+00,CA-2015-102988,Virginia,4251.92
2015-04-05 00:00:00+00,CA-2015-113887,New York,55.48
2015-04-05 00:00:00+00,CA-2015-149104,Michigan,770.61
2015-04-05 00:00:00+00,CA-2015-151001,Illinois,101.728
2015-04-05 00:00:00+00,US-2015-157231,Kentucky,115.36
2015-04-06 00:00:00+00,CA-2015-102652,California,199.98999999999998
2015-04-06 00:00:00+00,CA-2015-136742,Pennsylvania,44.91
2015-04-06 00:00:00+00,CA-2015-153808,California,436.48800000000006
2015-04-06 00:00:00+00,CA-2015-169803,Washington,687.4499999999999
2015-04-06 00:00:00+00,US-2015-118486,Pennsylvania,281.85200000000003
2015-04-07 00:00:00+00,CA-2015-124023,Alabama,8.96
2015-04-07 00:00:00+00,CA-2015-128846,South Carolina,752.9200000000001
2015-04-07 00:00:00+00,CA-2015-165806,Georgia,259.29
2015-04-08 00:00:00+00,CA-2015-100363,Arizona,21.375999999999998
2015-04-08 00:00:00+00,CA-2015-121769,Ohio,172.11
2015-04-08 00:00:00+00,CA-2015-150581,California,499.55199999999996
2015-04-08 00:00:00+00,US-2015-118997,Alabama,1215.92
2015-04-08 00:00:00+00,US-2015-163797,Arizona,49.792
2015-04-11 00:00:00+00,CA-2015-110555,Montana,410.104
2015-04-11 00:00:00+00,CA-2015-138940,Texas,758.352
2015-04-11 00:00:00+00,US-2015-102715,Florida,737.2
2015-04-11 00:00:00+00,US-2015-121734,Idaho,9.584
2015-04-12 00:00:00+00,CA-2015-142979,California,39.68
2015-04-12 00:00:00+00,CA-2015-154599,California,1840.043
2015-04-12 00:00:00+00,US-2015-158365,Indiana,32.4
2015-04-13 00:00:00+00,CA-2015-122336,Pennsylvania,630.746
2015-04-13 00:00:00+00,CA-2015-167724,Maryland,7.83
2015-04-15 00:00:00+00,US-2015-120740,California,294.71999999999997
2015-04-16 00:00:00+00,CA-2015-155208,North Carolina,39.072
2015-04-18 00:00:00+00,CA-2015-100678,Texas,697.074
2015-04-18 00:00:00+00,CA-2015-110849,California,323.458
2015-04-19 00:00:00+00,CA-2015-158470,Virginia,129.32999999999998
2015-04-19 00:00:00+00,CA-2015-169460,California,76.14
2015-04-20 00:00:00+00,CA-2015-101462,California,59.92
2015-04-20 00:00:00+00,CA-2015-134572,Texas,1190.53
2015-04-21 00:00:00+00,CA-2015-136336,Kentucky,828.84
2015-04-21 00:00:00+00,CA-2015-158064,California,16.52
2015-04-22 00:00:00+00,CA-2015-122070,New York,257.752
2015-04-23 00:00:00+00,CA-2015-111857,California,48.91
2015-04-23 00:00:00+00,US-2015-112564,Pennsylvania,2.502
2015-04-23 00:00:00+00,US-2015-150119,Ohio,592.5680000000001
2015-04-25 00:00:00+00,CA-2015-110100,North Carolina,302.376
2015-04-25 00:00:00+00,CA-2015-166954,California,2061.01
2015-04-25 00:00:00+00,US-2015-157406,Texas,16.608
2015-04-26 00:00:00+00,CA-2015-116785,California,34
2015-04-26 00:00:00+00,CA-2015-147298,California,248.568
2015-04-28 00:00:00+00,CA-2015-118976,Maryland,526.96
2015-04-28 00:00:00+00,CA-2015-131387,California,1679.96
2015-04-28 00:00:00+00,CA-2015-132983,New York,159.98
2015-04-28 00:00:00+00,CA-2015-140228,Ohio,211.57600000000002
2015-04-29 00:00:00+00,CA-2015-107811,Tennessee,661.5039999999999
2015-04-29 00:00:00+00,CA-2015-118304,Delaware,19.98
2015-04-29 00:00:00+00,CA-2015-134061,New York,17.46
2015-04-29 00:00:00+00,CA-2015-142727,Louisiana,69.9
2015-04-30 00:00:00+00,CA-2015-156006,Mississippi,47.79
2015-04-30 00:00:00+00,CA-2015-160094,Kentucky,1000.95
2015-05-02 00:00:00+00,CA-2015-115056,Ohio,26.136
2015-05-02 00:00:00+00,CA-2015-124618,Florida,479.984
2015-05-03 00:00:00+00,CA-2015-130274,Wisconsin,21.56
2015-05-03 00:00:00+00,CA-2015-135755,New York,51.072
2015-05-04 00:00:00+00,CA-2015-111899,Texas,43.312000000000005
2015-05-04 00:00:00+00,CA-2015-117709,Michigan,46.8
2015-05-04 00:00:00+00,CA-2015-155271,Connecticut,27.46
2015-05-04 00:00:00+00,US-2015-148194,Washington,69.86
2015-05-05 00:00:00+00,CA-2015-110219,Texas,127.869
2015-05-05 00:00:00+00,CA-2015-111934,Virginia,47.32
2015-05-05 00:00:00+00,CA-2015-160738,Illinois,45.248
2015-05-05 00:00:00+00,CA-2015-166457,Kentucky,40.54
2015-05-06 00:00:00+00,CA-2015-121664,California,140.736
2015-05-06 00:00:00+00,US-2015-154879,California,113.72
2015-05-07 00:00:00+00,CA-2015-166086,Massachusetts,1091.35
2015-05-08 00:00:00+00,CA-2015-116666,Pennsylvania,1799.97
2015-05-09 00:00:00+00,CA-2015-158771,Kentucky,158.70999999999998
2015-05-09 00:00:00+00,US-2015-102071,California,235.76999999999998
2015-05-10 00:00:00+00,CA-2015-103310,California,1769.784
2015-05-10 00:00:00+00,CA-2015-114181,Pennsylvania,372.28499999999997
2015-05-10 00:00:00+00,CA-2015-159709,Washington,201.73
2015-05-11 00:00:00+00,CA-2015-103849,Texas,225.016
2015-05-11 00:00:00+00,CA-2015-119172,Illinois,122.05199999999999
2015-05-11 00:00:00+00,CA-2015-127523,New York,35.91
2015-05-11 00:00:00+00,CA-2015-139017,Texas,46.864
2015-05-11 00:00:00+00,CA-2015-152100,Texas,1212.96
2015-05-12 00:00:00+00,CA-2015-127159,Wisconsin,34.79
2015-05-12 00:00:00+00,CA-2015-155887,Massachusetts,700.056
2015-05-13 00:00:00+00,CA-2015-113768,California,287.456
2015-05-13 00:00:00+00,CA-2015-114433,California,149.97
2015-05-13 00:00:00+00,CA-2015-140165,Florida,405.45599999999996
2015-05-13 00:00:00+00,CA-2015-167164,Utah,55.5
2015-05-14 00:00:00+00,CA-2015-106810,Florida,310.88
2015-05-16 00:00:00+00,CA-2015-125150,California,232.88
2015-05-16 00:00:00+00,US-2015-163146,California,56.4
2015-05-17 00:00:00+00,CA-2015-148761,Wisconsin,91.68
2015-05-18 00:00:00+00,CA-2015-103373,Ohio,779.796
2015-05-18 00:00:00+00,CA-2015-133963,Texas,3.984
2015-05-18 00:00:00+00,CA-2015-164224,Ohio,165.168
2015-05-19 00:00:00+00,CA-2015-130155,Virginia,34.2
2015-05-19 00:00:00+00,US-2015-107699,Michigan,57.42
2015-05-20 00:00:00+00,CA-2015-130673,Texas,108.44399999999999
2015-05-20 00:00:00+00,US-2015-114188,New Hampshire,211.66000000000003
2015-05-21 00:00:00+00,CA-2015-104780,California,31.84
2015-05-21 00:00:00+00,CA-2015-117639,Virginia,3333.8999999999996
2015-05-21 00:00:00+00,CA-2015-127166,Texas,186.90800000000002
2015-05-21 00:00:00+00,CA-2015-152443,Massachusetts,711.6800000000001
2015-05-22 00:00:00+00,CA-2015-143840,Alabama,180.93
2015-05-23 00:00:00+00,CA-2015-138513,Washington,12.96
2015-05-23 00:00:00+00,US-2015-105767,Pennsylvania,79.638
2015-05-23 00:00:00+00,US-2015-135881,New York,231.16
2015-05-24 00:00:00+00,CA-2015-143413,Maryland,116.28
2015-05-25 00:00:00+00,CA-2015-100391,New York,14.62
2015-05-25 00:00:00+00,US-2015-130379,Illinois,104.91999999999999
2015-05-26 00:00:00+00,CA-2015-129574,Utah,48.4
2015-05-26 00:00:00+00,CA-2015-144029,Illinois,475.78799999999995
2015-05-26 00:00:00+00,CA-2015-156349,California,576.234
2015-05-26 00:00:00+00,CA-2015-158029,California,225.296
2015-05-27 00:00:00+00,CA-2015-124429,California,926.44
2015-05-27 00:00:00+00,CA-2015-139192,California,1213.494
2015-05-27 00:00:00+00,US-2015-117058,Illinois,17.46
2015-05-28 00:00:00+00,CA-2015-108861,Washington,136.96
2015-05-28 00:00:00+00,CA-2015-135993,Washington,85.00800000000001
2015-05-30 00:00:00+00,CA-2015-103429,New York,765.494
2015-05-30 00:00:00+00,CA-2015-105872,New York,70.368
2015-05-30 00:00:00+00,CA-2015-140473,Illinois,719.976
2015-05-30 00:00:00+00,CA-2015-145800,Illinois,355.455
2015-05-30 00:00:00+00,CA-2015-146885,Virginia,13.62
2015-05-31 00:00:00+00,CA-2015-166051,Mississippi,773.7
2015-06-01 00:00:00+00,CA-2015-111003,New Jersey,334.68
2015-06-01 00:00:00+00,CA-2015-131926,Minnesota,3745.63
2015-06-01 00:00:00+00,US-2015-157070,Michigan,204.07999999999998
2015-06-01 00:00:00+00,US-2015-165659,Arkansas,904.13
2015-06-02 00:00:00+00,CA-2015-100895,Georgia,605.47
2015-06-02 00:00:00+00,CA-2015-104472,Utah,133.128
2015-06-03 00:00:00+00,CA-2015-135657,Washington,515.88
2015-06-03 00:00:00+00,CA-2015-141299,Michigan,15.28
2015-06-03 00:00:00+00,CA-2015-163867,Illinois,210.176
2015-06-04 00:00:00+00,CA-2015-147914,Ohio,16.224
2015-06-04 00:00:00+00,CA-2015-151946,New York,440.04799999999994
2015-06-06 00:00:00+00,CA-2015-133270,New York,13.36
2015-06-06 00:00:00+00,CA-2015-151897,Texas,100.24
2015-06-06 00:00:00+00,CA-2015-159520,New York,1158.448
2015-06-06 00:00:00+00,CA-2015-169257,Florida,63.381
2015-06-06 00:00:00+00,US-2015-161305,Illinois,38.572
2015-06-07 00:00:00+00,CA-2015-106229,Illinois,268.935
2015-06-07 00:00:00+00,US-2015-134971,Illinois,12.462
2015-06-08 00:00:00+00,CA-2015-108147,New York,1745.3600000000001
2015-06-08 00:00:00+00,US-2015-109162,Tennessee,170.352
2015-06-08 00:00:00+00,US-2015-141257,Washington,585.552
2015-06-09 00:00:00+00,CA-2015-115812,California,3714.304
2015-06-09 00:00:00+00,CA-2015-132612,Virginia,1441.3
2015-06-09 00:00:00+00,CA-2015-133753,Texas,142.344
2015-06-09 00:00:00+00,CA-2015-133851,California,30.46
2015-06-09 00:00:00+00,CA-2015-160262,Nevada,134.6
2015-06-10 00:00:00+00,CA-2015-144281,Michigan,491.55
2015-06-13 00:00:00+00,CA-2015-114643,California,14.52
2015-06-14 00:00:00+00,CA-2015-140487,Michigan,212.94
2015-06-15 00:00:00+00,CA-2015-126963,Texas,36.544
2015-06-15 00:00:00+00,US-2015-141215,Texas,906.43
2015-06-16 00:00:00+00,CA-2015-113929,New York,115.952
2015-06-16 00:00:00+00,CA-2015-136644,Indiana,647.84
2015-06-17 00:00:00+00,CA-2015-104402,Delaware,65.97
2015-06-17 00:00:00+00,CA-2015-144414,Washington,3290.516
2015-06-17 00:00:00+00,CA-2015-156342,Illinois,62.016
2015-06-18 00:00:00+00,CA-2015-123855,California,139.8
2015-06-20 00:00:00+00,CA-2015-166863,Texas,1353.5296
2015-06-20 00:00:00+00,US-2015-112949,Oklahoma,475.41999999999996
2015-06-21 00:00:00+00,CA-2015-128146,New Jersey,1326.69
2015-06-21 00:00:00+00,CA-2015-130624,New York,697.32
2015-06-21 00:00:00+00,CA-2015-138317,Pennsylvania,385.2610000000001
2015-06-21 00:00:00+00,CA-2015-141278,Connecticut,21.4
2015-06-21 00:00:00+00,CA-2015-141796,New York,1214.85
2015-06-21 00:00:00+00,US-2015-117135,Virginia,425.66999999999996
2015-06-21 00:00:00+00,US-2015-160780,Colorado,36.252
2015-06-22 00:00:00+00,CA-2015-124646,Minnesota,663.75
2015-06-22 00:00:00+00,CA-2015-133389,Arizona,8.226
2015-06-22 00:00:00+00,CA-2015-142048,Colorado,196.752
2015-06-22 00:00:00+00,CA-2015-154963,Pennsylvania,1106.77
2015-06-23 00:00:00+00,CA-2015-126032,Pennsylvania,86.376
2015-06-23 00:00:00+00,US-2015-130358,North Carolina,23.119999999999997
2015-06-24 00:00:00+00,CA-2015-159814,Arizona,4.272
2015-06-25 00:00:00+00,CA-2015-159338,California,447.84
2015-06-25 00:00:00+00,CA-2015-164469,Oregon,344.91999999999996
2015-06-27 00:00:00+00,CA-2015-104283,Mississippi,616.14
2015-06-28 00:00:00+00,CA-2015-140858,Pennsylvania,1639.711
2015-06-28 00:00:00+00,CA-2015-156993,Michigan,6.08
2015-06-29 00:00:00+00,CA-2015-111773,New York,13.92
2015-06-29 00:00:00+00,CA-2015-165974,Ohio,32.76
2015-06-30 00:00:00+00,CA-2015-109218,California,32.4
2015-06-30 00:00:00+00,CA-2015-116757,Texas,47.232
2015-06-30 00:00:00+00,CA-2015-123064,Illinois,5.248
2015-06-30 00:00:00+00,CA-2015-146640,New York,334.768
2015-06-30 00:00:00+00,CA-2015-152254,North Carolina,310.688
2015-06-30 00:00:00+00,US-2015-121566,New York,9.288
2015-07-01 00:00:00+00,CA-2015-153150,Washington,19.92
2015-07-01 00:00:00+00,CA-2015-160773,Florida,581.1039999999999
2015-07-02 00:00:00+00,CA-2015-107594,New Jersey,79.56
2015-07-04 00:00:00+00,CA-2015-120096,Colorado,209.96800000000002
2015-07-04 00:00:00+00,CA-2015-138709,Virginia,37.44
2015-07-05 00:00:00+00,CA-2015-103317,Florida,242.546
2015-07-05 00:00:00+00,CA-2015-107139,California,180.96
2015-07-05 00:00:00+00,CA-2015-152849,Tennessee,4.368
2015-07-05 00:00:00+00,CA-2015-157784,Mississippi,514.0300000000001
2015-07-05 00:00:00+00,US-2015-160444,Texas,502.2
2015-07-06 00:00:00+00,CA-2015-134278,New York,559.992
2015-07-06 00:00:00+00,CA-2015-147543,California,478.48
2015-07-07 00:00:00+00,US-2015-138758,Pennsylvania,241.19400000000002
2015-07-08 00:00:00+00,CA-2015-100090,California,699.192
2015-07-08 00:00:00+00,CA-2015-150301,New York,63.882
2015-07-09 00:00:00+00,CA-2015-113271,California,172.097
2015-07-09 00:00:00+00,CA-2015-114125,California,68.70400000000001
2015-07-09 00:00:00+00,CA-2015-165379,Texas,24.72
2015-07-11 00:00:00+00,CA-2015-123225,Texas,586.336
2015-07-11 00:00:00+00,CA-2015-133305,New York,67.4
2015-07-11 00:00:00+00,CA-2015-163552,New Jersey,1368.6200000000001
2015-07-11 00:00:00+00,CA-2015-166555,New York,164.85
2015-07-12 00:00:00+00,CA-2015-110184,California,505.68600000000004
2015-07-12 00:00:00+00,CA-2015-124807,Illinois,59.696
2015-07-12 00:00:00+00,CA-2015-129924,California,706.064
2015-07-12 00:00:00+00,CA-2015-131310,Washington,134.4
2015-07-12 00:00:00+00,CA-2015-161508,Texas,554.166
2015-07-13 00:00:00+00,US-2015-165862,California,351.216
2015-07-14 00:00:00+00,CA-2015-109904,New York,17.94
2015-07-14 00:00:00+00,CA-2015-124464,Delaware,39.48
2015-07-14 00:00:00+00,CA-2015-164182,Pennsylvania,111.05000000000001
2015-07-14 00:00:00+00,US-2015-103905,Illinois,68.204
2015-07-14 00:00:00+00,US-2015-150532,Arizona,55.92
2015-07-15 00:00:00+00,CA-2015-115980,South Dakota,9.51
2015-07-18 00:00:00+00,CA-2015-123295,Arizona,259.136
2015-07-18 00:00:00+00,CA-2015-138198,New York,13.904
2015-07-19 00:00:00+00,CA-2015-168158,Montana,6.096
2015-07-19 00:00:00+00,US-2015-150434,Connecticut,455.23
2015-07-20 00:00:00+00,CA-2015-127866,California,602.43
2015-07-20 00:00:00+00,CA-2015-141726,California,176.494
2015-07-20 00:00:00+00,CA-2015-142965,Ohio,53.344
2015-07-20 00:00:00+00,CA-2015-143903,Texas,1340.9759999999999
2015-07-20 00:00:00+00,CA-2015-157546,California,112.542
2015-07-21 00:00:00+00,CA-2015-109890,Nebraska,35.98
2015-07-21 00:00:00+00,CA-2015-116932,California,1173.616
2015-07-21 00:00:00+00,CA-2015-129189,Texas,751.886
2015-07-22 00:00:00+00,CA-2015-117464,California,1136.092
2015-07-22 00:00:00+00,CA-2015-122679,California,19.68
2015-07-22 00:00:00+00,CA-2015-127691,New York,165.94
2015-07-22 00:00:00+00,US-2015-164644,Texas,26.632
2015-07-23 00:00:00+00,CA-2015-103058,New York,99.98
2015-07-23 00:00:00+00,CA-2015-145254,California,992.828
2015-07-23 00:00:00+00,US-2015-119137,Arizona,1520.376
2015-07-25 00:00:00+00,CA-2015-143917,California,8319.289999999999
2015-07-25 00:00:00+00,CA-2015-146528,California,22
2015-07-26 00:00:00+00,CA-2015-116190,Georgia,256.47999999999996
2015-07-26 00:00:00+00,CA-2015-126760,Nevada,1891.316
2015-07-26 00:00:00+00,CA-2015-159121,Utah,111.93
2015-07-26 00:00:00+00,CA-2015-169019,Texas,2656.716
2015-07-26 00:00:00+00,US-2015-155894,Illinois,123.552
2015-07-27 00:00:00+00,CA-2015-124709,California,238
2015-07-27 00:00:00+00,CA-2015-169642,California,276.28
2015-07-27 00:00:00+00,US-2015-150126,New York,65.78
2015-07-28 00:00:00+00,CA-2015-131541,Florida,193.152
2015-07-30 00:00:00+00,CA-2015-111192,Washington,1367.84
2015-08-01 00:00:00+00,CA-2015-117345,North Carolina,202.89600000000002
2015-08-01 00:00:00+00,CA-2015-152296,California,19.752
2015-08-01 00:00:00+00,CA-2015-162684,Pennsylvania,5.68
2015-08-02 00:00:00+00,US-2015-106299,Missouri,886.28
2015-08-03 00:00:00+00,CA-2015-125612,New York,163.62
2015-08-03 00:00:00+00,CA-2015-128986,Arizona,93.024
2015-08-03 00:00:00+00,CA-2015-133690,Colorado,221.35
2015-08-04 00:00:00+00,CA-2015-126361,Utah,2126.034
2015-08-04 00:00:00+00,CA-2015-134215,Maine,617.12
2015-08-05 00:00:00+00,CA-2015-110065,New York,151.95000000000002
2015-08-05 00:00:00+00,CA-2015-118962,California,472.044
2015-08-05 00:00:00+00,CA-2015-124723,Texas,489.23
2015-08-05 00:00:00+00,CA-2015-150490,California,78.12
2015-08-05 00:00:00+00,US-2015-117968,Connecticut,1217.3799999999999
2015-08-06 00:00:00+00,CA-2015-115357,South Carolina,62.91
2015-08-06 00:00:00+00,CA-2015-137575,New York,199.98
2015-08-08 00:00:00+00,CA-2015-124478,Michigan,1109.725
2015-08-08 00:00:00+00,CA-2015-131450,California,2049.816
2015-08-08 00:00:00+00,CA-2015-151708,Arizona,217.352
2015-08-08 00:00:00+00,CA-2015-154669,California,423.28
2015-08-08 00:00:00+00,CA-2015-156790,Florida,155.456
2015-08-09 00:00:00+00,CA-2015-110527,California,20.88
2015-08-09 00:00:00+00,CA-2015-141901,California,5.98
2015-08-09 00:00:00+00,CA-2015-161249,Arizona,13.809000000000001
2015-08-09 00:00:00+00,CA-2015-166471,Washington,1310.3359999999998
2015-08-09 00:00:00+00,CA-2015-167850,Florida,193.93599999999998
2015-08-09 00:00:00+00,CA-2015-169726,Washington,2060.744
2015-08-11 00:00:00+00,CA-2015-127012,Washington,76.28
